;Ferrovia;Linha;A;B;Extensão (km);x;AB;TU2019;TU2018;TU2017;TU2016;TU2015
0;EFC;Ramal Ponta da Madeira Cobre;A99;QCO;1;;A99 - QCO;0;0;0;0;0
1;EFC;Ramal Ponta da Madeira Granel;A99;QPI;2,7;;A99 - QPI;0;0;0;0;0
2;EFC;Ponta da Madeira - Carajás;QPM;QRO;39;;QPM - QRO;1535219;1422415;1384106;1239155;975578
3;EFC;Ponta da Madeira - Carajás;QRO;QSI;174;;QRO - QSI;1535219;1422415;1384106;1239155;975578
4;EFC;Ponta da Madeira - Carajás;QSI;QNV;171;;QSI - QNV;1535219;1422415;1384106;1239155;975578
5;EFC;Ponta da Madeira - Carajás;QNV;QAL;129;;QNV - QAL;1535219;1422415;1384106;1239155;975578
6;EFC;Ponta da Madeira - Carajás;QAL;QMA;225;;QAL - QMA;442163;424020;324838;207215;203014
7;EFC;Ponta da Madeira - Carajás;QMA;QSL;93,342;;QMA - QSL;0;0;0;0;0
8;EFC;Ponta da Madeira - Carajás;QSL;QRS;28,075;;QSL - QRS;0;0;0;0;0
9;EFC;Ponta da Madeira - Carajás;QRS;QPA;1,583;;QRS - QPA;0;0;0;0;0
10;EFC;Ponta da Madeira - Carajás;QPA;QCA;30;;QPA - QCA;0;0;0;0;0
11;EFC;Ramal Ponta da Madeira - Virador de Vagões Minério;QPM;QVV;8;;QPM - QVV;0;0;0;0;0
12;EFC;Ramal Ponta da Madeira - Pombinho;QPM;APB;7;;QPM - APB;1509648;1300992;753882;523382;516471
13;EFC;Ramal Serra Sul;QRS;QSS;86,969;;QRS - QSS;0;0;0;0;0
14;EFPO;Guarapuava - Cascavel;LGP;S01;7,5;;LGP - S01;0;0;682;31202;37537
15;EFPO;Guarapuava - Cascavel;S01;SCR;20,19;;S01 - SCR;0;0;682;31202;37537
16;EFPO;Guarapuava - Cascavel;SCR;SLI;13,063;;SCR - SLI;0;0;682;31202;37537
17;EFPO;Guarapuava - Cascavel;SLI;SAR;16,343;;SLI - SAR;0;0;682;31202;37537
18;EFPO;Guarapuava - Cascavel;SAR;SGO;25,922;;SAR - SGO;0;0;682;31202;37537
19;EFPO;Guarapuava - Cascavel;SGO;SCG;21;;SGO - SCG;0;0;682;31202;37537
20;EFPO;Guarapuava - Cascavel;SCG;SLS;20,64;;SCG - SLS;0;0;682;31202;37537
21;EFPO;Guarapuava - Cascavel;SLS;SHE;23,304;;SLS - SHE;0;0;682;31202;37537
22;EFPO;Guarapuava - Cascavel;SHE;SGU;26,825;;SHE - SGU;0;0;682;31202;37537
23;EFPO;Guarapuava - Cascavel;SGU;SIB;25,358;;SGU - SIB;0;0;682;31202;37537
24;EFPO;Guarapuava - Cascavel;SIB;SCB;23,041;;SIB - SCB;0;0;682;31202;37537
25;EFPO;Guarapuava - Cascavel;SCB;SCA;24,912;;SCB - SCA;0;0;682;31202;37537
26;EFVM;Ramal de Fábrica;VDD;VBV;19,053;;VDD - VBV;440279;453095;431789;447764;547235
27;EFVM;Ramal de Fábrica;VBV;VJM;2,76;;VBV - VJM;440279;453095;431789;447764;547235
28;EFVM;Ramal de Fábrica;VJM;VRP;13,671;;VJM - VRP;440279;453095;431789;447764;547235
29;EFVM;Ramal de Fábrica;VRP;VBS;3,382;;VRP - VBS;440279;453095;431789;447764;547235
30;EFVM;Ramal de Fábrica;VBS;OPT;6,612;;VBS - OPT;440279;453095;431789;447764;547235
31;EFVM;Ramal de Fábrica;OPT;OFI;8,959;;OPT - OFI;440279;453095;431789;447764;547235
32;EFVM;Ramal de Fábrica;OFI;VCS;7,699;;OFI - VCS;440279;453095;431789;447764;547235
33;EFVM;Ramal de Fábrica;VCS;VAG;4,294;;VCS - VAG;0;0;0;0;0
34;EFVM;Ramal de Fábrica;VAG;VBT;10,143;;VAG - VBT;0;0;0;0;0
35;EFVM;Ramal de Fábrica;VBT;VFZ;13,074;;VBT - VFZ;0;0;0;0;0
36;EFVM;Ramal de Fábrica;VFZ;VAL;8,143;;VFZ - VAL;0;0;0;0;0
37;EFVM;Ramal de Fábrica;VAL;VTO;8,31;;VAL - VTO;0;0;0;0;0
38;EFVM;Ramal de Fábrica;VTO;VRV;12,82;;VTO - VRV;0;0;0;0;0
39;EFVM;Ramal de Fábrica;VRV;VFU;14,868;;VRV - VFU;0;0;0;0;0
40;EFVM;Ramal de Fábrica;VFU;VCB;8,088;;VFU - VCB;0;0;0;0;0
41;EFVM;Ramal de Fábrica;VCB;ELF;9,159;;VCB - ELF;0;0;0;0;0
42;EFVM;Ramal de Fábrica;ELF;VFM;13,062;;ELF - VFM;0;0;0;0;0
43;EFVM;Ramal de Fábrica;VFM;VFA;2,458;;VFM - VFA;0;0;0;0;0
44;EFVM;Piraqueaçu - Aracruz;VPA;VAZ;47;;VPA - VAZ;0;0;0;0;0
45;EFVM;Porto Velho - Itabira;VPN;VFH;6,257;;VPN - VFH;2623;0;0;0;0
46;EFVM;Porto Velho - Itabira;VFH;VEA;6,154;;VFH - VEA;2623;0;0;0;0
47;EFVM;Porto Velho - Itabira;VEA;V03;2,393;;VEA - V03;2623;0;0;0;0
48;EFVM;Porto Velho - Itabira;V03;VAB;9,269;;V03 - VAB;326601;328422;289883;282284;384910
49;EFVM;Porto Velho - Itabira;VAB;VFN;27,219;;VAB - VFN;326601;328422;289883;282284;384910
50;EFVM;Porto Velho - Itabira;VFN;VAR;15,012;;VFN - VAR;326601;328422;289883;282284;384910
51;EFVM;Porto Velho - Itabira;VAR;VPA;8,723;;VAR - VPA;326601;328422;289883;282284;384910
52;EFVM;Porto Velho - Itabira;VPA;VCL;56,592;;VPA - VCL;326601;328422;289883;282284;384910
53;EFVM;Porto Velho - Itabira;VCL;VIA;20,536;;VCL - VIA;326601;328422;289883;282284;384910
54;EFVM;Porto Velho - Itabira;VIA;VMC;11,467;;VIA - VMC;326601;328422;289883;282284;384910
55;EFVM;Porto Velho - Itabira;VMC;VBG;10,957;;VMC - VBG;326601;328422;289883;282284;384910
56;EFVM;Porto Velho - Itabira;VBG;VAY;5,646;;VBG - VAY;326601;328422;289883;282284;384910
57;EFVM;Porto Velho - Itabira;VAY;VIU;20,775;;VAY - VIU;326601;328422;289883;282284;384910
58;EFVM;Porto Velho - Itabira;VIU;VRD;14,732;;VIU - VRD;326601;328422;289883;282284;384910
59;EFVM;Porto Velho - Itabira;VRD;VCN;16,305;;VRD - VCN;326601;328422;289883;282284;384910
60;EFVM;Porto Velho - Itabira;VCN;VCP;16,554;;VCN - VCP;326601;328422;289883;282284;384910
61;EFVM;Porto Velho - Itabira;VCP;VBC;13,277;;VCP - VBC;326601;328422;289883;282284;384910
62;EFVM;Porto Velho - Itabira;VBC;VST;7,797;;VBC - VST;326601;328422;289883;282284;384910
63;EFVM;Porto Velho - Itabira;VST;VTR;12,029;;VST - VTR;326601;328422;289883;282284;384910
64;EFVM;Porto Velho - Itabira;VTR;VGV;43,213;;VTR - VGV;326601;328422;289883;282284;384910
65;EFVM;Porto Velho - Itabira;VGV;VPC;36,132;;VGV - VPC;415798;419675;403969;416398;518315
66;EFVM;Porto Velho - Itabira;VPC;VFS;37,561;;VPC - VFS;415798;419675;403969;416398;518315
67;EFVM;Porto Velho - Itabira;VFS;VJC;28,728;;VFS - VJC;415798;419729;403969;416398;518315
68;EFVM;Porto Velho - Itabira;VJC;VIC;8,176;;VJC - VIC;415798;419729;403969;416398;518315
69;EFVM;Porto Velho - Itabira;VIC;VMR;13,824;;VIC - VMR;415798;419729;403969;416398;518315
70;EFVM;Porto Velho - Itabira;VMR;VAC;1,672;;VMR - VAC;415798;419729;403969;416398;518315
71;EFVM;Porto Velho - Itabira;VAC;VAD;30,596;;VAC - VAD;415798;419729;403969;416398;518315
72;EFVM;Porto Velho - Itabira;VAD;DDC;21,604;;VAD - DDC;415798;419729;403969;416398;518315
73;EFVM;Porto Velho - Itabira;DDC;VDD;4,034;;DDC - VDD;415798;419729;403969;416398;518315
74;EFVM;Porto Velho - Itabira;VDD;VLB;26,415;;VDD - VLB;0;0;0;0;0
75;EFVM;Porto Velho - Itabira;VLB;VBF;6,65;;VLB - VBF;0;0;0;0;0
76;EFVM;Porto Velho - Itabira;VBF;VIT;1,042;;VBF - VIT;0;0;0;0;0
77;EFVM;Pedro Nolasco - Porto Velho;VPN;VPV;3;;VPN - VPV;0;0;0;0;0
78;EFVM;Ramal Ouro Branco;ELF;VOB;15;;ELF - VOB;0;0;0;0;0
79;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VCS;VBR;17,036;;VCS - VBR;440279;453095;431789;447764;547235
80;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VBR;VDI;6,017;;VBR - VDI;440279;453095;431789;447764;547235
81;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VDI;VME;7;;VDI - VME;440279;453095;431789;447764;547235
82;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VME;VGS;9,377;;VME - VGS;440279;453095;431789;447764;547235
83;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VGS;VQT;8,827;;VGS - VQT;440279;453095;431789;447764;547235
84;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VQT;VTE;9,543;;VQT - VTE;440279;453095;431789;447764;547235
85;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VTE;VDO;8,272;;VTE - VDO;440279;453095;431789;447764;547235
86;EFVM;Costa Lacerda - Pedreira Rio das Velhas;VDO;VWI;10,428;;VDO - VWI;440279;453095;431789;447764;547235
87;EFVM;Ramal Tubarão;V03;VTU;12,411;;V03 - VTU;323978;328422;289883;282284;384910
88;EFVM;Ramal João Paulo;VBF;VJP;4,17;;VBF - VJP;0;0;0;0;0
89;EFVM;Ramal Conceição;VBF;VCE;5,607;;VBF - VCE;0;0;0;0;0
90;FCA;Ramal Complexo Mineral de Araxá;EYF;ETF;9,82;;EYF - ETF;0;51;0;0;0
91;FCA;Sub-Ramal de Volta Redonda;EBM;EKK;3;;EBM - EKK;0;0;0;0;0
92;FCA;Eng. Bhering - Garças de Minas;EEB;ELS;5,104;;EEB - ELS;0;0;0;0;0
93;FCA;Eng. Bhering - Garças de Minas;ELS;ERV;9,065;;ELS - ERV;0;0;0;0;0
94;FCA;Eng. Bhering - Garças de Minas;ERV;EPE;19,939;;ERV - EPE;0;0;0;0;0
95;FCA;Eng. Bhering - Garças de Minas;EPE;EKV;18,389;;EPE - EKV;0;0;0;0;0
96;FCA;Eng. Bhering - Garças de Minas;EKV;ESM;17,765;;EKV - ESM;0;0;0;0;0
97;FCA;Eng. Bhering - Garças de Minas;ESM;ECB;2,431;;ESM - ECB;0;0;0;0;0
98;FCA;Eng. Bhering - Garças de Minas;ECB;ECX;25,023;;ECB - ECX;0;0;0;0;0
99;FCA;Eng. Bhering - Garças de Minas;ECX;EBG;18,292;;ECX - EBG;0;0;0;0;0
100;FCA;Eng. Bhering - Garças de Minas;EBG;E69;11,536;;EBG - E69;0;0;0;0;0
101;FCA;Eng. Bhering - Garças de Minas;E69;ETI;8,354;;E69 - ETI;0;0;0;0;0
102;FCA;Eng. Bhering - Garças de Minas;ETI;E68;17,982;;ETI - E68;0;0;0;0;0
103;FCA;Eng. Bhering - Garças de Minas;E68;EFG;2,44;;E68 - EFG;0;0;0;0;0
104;FCA;Eng. Bhering - Garças de Minas;EFG;E13;11,356;;EFG - E13;0;0;0;0;0
105;FCA;Eng. Bhering - Garças de Minas;E13;EAO;19,025;;E13 - EAO;0;0;0;0;0
106;FCA;Eng. Bhering - Garças de Minas;EAO;E67;20,092;;EAO - E67;0;0;0;0;0
107;FCA;Eng. Bhering - Garças de Minas;E67;EGS;8,293;;E67 - EGS;0;0;0;0;0
108;FCA;Eng. Bhering - Divinópolis;EEB;EMW;17,98;;EEB - EMW;0;100;0;0;0
109;FCA;Eng. Bhering - Divinópolis;EMW;EBS;26,837;;EMW - EBS;0;100;0;0;0
110;FCA;Eng. Bhering - Divinópolis;EBS;ETR;23,909;;EBS - ETR;0;100;0;0;0
111;FCA;Eng. Bhering - Divinópolis;ETR;EOL;30,02;;ETR - EOL;0;100;0;0;0
112;FCA;Eng. Bhering - Divinópolis;EOL;ECM;25,424;;EOL - ECM;0;100;0;0;0
113;FCA;Eng. Bhering - Divinópolis;ECM;EGF;13,168;;ECM - EGF;0;100;0;0;0
114;FCA;Eng. Bhering - Divinópolis;EGF;EWD;26,965;;EGF - EWD;0;100;0;0;0
115;FCA;Eng. Bhering - Divinópolis;EWD;EDV;11,177;;EWD - EDV;0;100;0;0;0
116;FCA;General Carneiro - Monte Azul;EGC;VWI;3;;EGC - VWI;440279;457937;440950;458949;581581
117;FCA;General Carneiro - Monte Azul;VWI;ECE;6,532;;VWI - ECE;0;4842;9161;11185;21021
118;FCA;General Carneiro - Monte Azul;ECE;ECA;6,532;;ECE - ECA;0;4842;9161;11185;21021
119;FCA;General Carneiro - Monte Azul;ECA;ERE;12,981;;ECA - ERE;0;4842;9161;11185;21021
120;FCA;General Carneiro - Monte Azul;ERE;EVP;6,292;;ERE - EVP;0;4842;9161;11185;21021
121;FCA;General Carneiro - Monte Azul;EVP;ENG;5,148;;EVP - ENG;0;4842;9161;11185;21021
122;FCA;General Carneiro - Monte Azul;ENG;ELD;10,064;;ENG - ELD;0;4842;9161;11185;21021
123;FCA;General Carneiro - Monte Azul;ELD;EPL;5,519;;ELD - EPL;0;4842;9161;11185;21021
124;FCA;General Carneiro - Monte Azul;EPL;EWL;5,609;;EPL - EWL;0;4842;9161;11185;21021
125;FCA;General Carneiro - Monte Azul;EWL;EMS;4,828;;EWL - EMS;0;674;3676;5321;13474
126;FCA;General Carneiro - Monte Azul;EMS;EPM;13,54;;EMS - EPM;0;674;3676;5321;13474
127;FCA;General Carneiro - Monte Azul;EPM;ESL;12,335;;EPM - ESL;0;674;3676;5321;13474
128;FCA;General Carneiro - Monte Azul;ESL;ESX;21,944;;ESL - ESX;0;674;3676;5321;13474
129;FCA;General Carneiro - Monte Azul;ESX;EAI;22,267;;ESX - EAI;0;674;3676;5321;13474
130;FCA;General Carneiro - Monte Azul;EAI;EOR;14,92;;EAI - EOR;0;674;3676;5321;13474
131;FCA;General Carneiro - Monte Azul;EOR;EMX;26,274;;EOR - EMX;0;674;3676;5321;13474
132;FCA;General Carneiro - Monte Azul;EMX;ECV;27,556;;EMX - ECV;0;674;3676;5321;13474
133;FCA;General Carneiro - Monte Azul;ECV;EOA;32,334;;ECV - EOA;0;674;3676;5321;13474
134;FCA;General Carneiro - Monte Azul;EOA;ECO;22,543;;EOA - ECO;0;674;3676;5321;13474
135;FCA;General Carneiro - Monte Azul;ECO;EAA;17,052;;ECO - EAA;0;674;3676;5321;13474
136;FCA;General Carneiro - Monte Azul;EAA;EAL;28,004;;EAA - EAL;0;674;3676;5321;13474
137;FCA;General Carneiro - Monte Azul;EAL;EBL;32,045;;EAL - EBL;0;674;3676;5321;13474
138;FCA;General Carneiro - Monte Azul;EBL;EJF;16,149;;EBL - EJF;0;674;3676;5321;13474
139;FCA;General Carneiro - Monte Azul;EJF;EKT;15,875;;EJF - EKT;0;674;3676;5321;13474
140;FCA;General Carneiro - Monte Azul;EKT;EBP;16,125;;EKT - EBP;0;674;3676;5321;13474
141;FCA;General Carneiro - Monte Azul;EBP;EEO;11,655;;EBP - EEO;0;674;3676;5321;13474
142;FCA;General Carneiro - Monte Azul;EEO;EEN;25;;EEO - EEN;0;674;3676;5321;13474
143;FCA;General Carneiro - Monte Azul;EEN;EBV;31,32;;EEN - EBV;0;674;3676;5321;13474
144;FCA;General Carneiro - Monte Azul;EBV;EEA;28,49;;EBV - EEA;0;674;3676;5321;13474
145;FCA;General Carneiro - Monte Azul;EEA;EGL;13,059;;EEA - EGL;0;674;3676;5321;13474
146;FCA;General Carneiro - Monte Azul;EGL;EMC;28,909;;EGL - EMC;0;674;3676;5321;13474
147;FCA;General Carneiro - Monte Azul;EMC;ENA;24,14;;EMC - ENA;87750;240009;213462;222353;199655
148;FCA;General Carneiro - Monte Azul;ENA;EEZ;39;;ENA - EEZ;87750;240009;213462;222353;199655
149;FCA;General Carneiro - Monte Azul;EEZ;EON;20,04;;EEZ - EON;87750;240009;213462;222353;199655
150;FCA;General Carneiro - Monte Azul;EON;EEM;21,01;;EON - EEM;87750;240009;213462;222353;199655
151;FCA;General Carneiro - Monte Azul;EEM;EJN;42,71;;EEM - EJN;87750;240009;213462;222353;199655
152;FCA;General Carneiro - Monte Azul;EJN;ETO;25,079;;EJN - ETO;87750;240009;213462;222353;199655
153;FCA;General Carneiro - Monte Azul;ETO;EYP;18,18;;ETO - EYP;87750;240009;213462;222353;199655
154;FCA;General Carneiro - Monte Azul;EYP;EEW;22,069;;EYP - EEW;87750;240009;213462;222353;199655
155;FCA;General Carneiro - Monte Azul;EEW;EMA;25,94;;EEW - EMA;87750;240009;213462;222353;199655
156;FCA;Garças de Minas - Calafate;EGS;EDS;19,147;;EGS - EDS;0;51;0;0;1712
157;FCA;Garças de Minas - Calafate;EDS;ELX;2;;EDS - ELX;0;51;0;0;1712
158;FCA;Garças de Minas - Calafate;ELX;ELP;8,483;;ELX - ELP;0;51;0;0;1712
159;FCA;Garças de Minas - Calafate;ELP;EEJ;15,176;;ELP - EEJ;0;51;0;0;1712
160;FCA;Garças de Minas - Calafate;EEJ;EMG;10,137;;EEJ - EMG;0;51;0;0;1712
161;FCA;Garças de Minas - Calafate;EMG;EFY;10,178;;EMG - EFY;0;51;0;0;1712
162;FCA;Garças de Minas - Calafate;EFY;ESA;7,724;;EFY - ESA;0;51;0;0;1712
163;FCA;Garças de Minas - Calafate;ESA;EFB;12,913;;ESA - EFB;0;51;0;0;1712
164;FCA;Garças de Minas - Calafate;EFB;EAF;18,283;;EFB - EAF;0;51;0;0;1712
165;FCA;Garças de Minas - Calafate;EAF;EDY;14,185;;EAF - EDY;0;51;0;0;1712
166;FCA;Garças de Minas - Calafate;EDY;EED;10,442;;EDY - EED;0;51;0;0;1712
167;FCA;Garças de Minas - Calafate;EED;EDV;13,665;;EED - EDV;0;51;0;0;1712
168;FCA;Garças de Minas - Calafate;EDV;EHT;9,35;;EDV - EHT;0;2276;1761;2174;4647
169;FCA;Garças de Minas - Calafate;EHT;ECJ;9,009;;EHT - ECJ;0;2276;1761;2174;4647
170;FCA;Garças de Minas - Calafate;ECJ;EYE;5,243;;ECJ - EYE;0;2276;1761;2174;4647
171;FCA;Garças de Minas - Calafate;EYE;EAG;10,16;;EYE - EAG;0;2276;1761;2174;4647
172;FCA;Garças de Minas - Calafate;EAG;EGD;5,935;;EAG - EGD;0;2276;1761;2174;4647
173;FCA;Garças de Minas - Calafate;EGD;ESS;11,494;;EGD - ESS;0;2276;1761;2174;4647
174;FCA;Garças de Minas - Calafate;ESS;EEQ;8,556;;ESS - EEQ;0;2276;1761;2174;4647
175;FCA;Garças de Minas - Calafate;EEQ;ESQ;11,4;;EEQ - ESQ;0;2276;1761;2174;4647
176;FCA;Garças de Minas - Calafate;ESQ;EZU;6,784;;ESQ - EZU;0;2276;1761;2174;4647
177;FCA;Garças de Minas - Calafate;EZU;EML;7,672;;EZU - EML;0;2276;1761;2174;4647
178;FCA;Garças de Minas - Calafate;EML;EJU;9,611;;EML - EJU;0;2276;1761;2174;4647
179;FCA;Garças de Minas - Calafate;EJU;EVN;11,794;;EJU - EVN;0;2276;1761;2174;4647
180;FCA;Garças de Minas - Calafate;EVN;ECN;10,901;;EVN - ECN;0;2276;1761;2174;4647
181;FCA;Garças de Minas - Calafate;ECN;EYB;8,647;;ECN - EYB;0;2276;1761;2174;4647
182;FCA;Garças de Minas - Calafate;EYB;EYU;4,59;;EYB - EYU;0;2276;1761;2174;4647
183;FCA;Garças de Minas - Calafate;EYU;EBO;4,451;;EYU - EBO;473206;506889;488035;512305;653764
184;FCA;Garças de Minas - Calafate;EBO;EEL;7,045;;EBO - EEL;473206;506889;488035;512305;653764
185;FCA;Garças de Minas - Calafate;EEL;ECL;5,503;;EEL - ECL;473206;507033;488035;512305;653764
186;FCA;Garças de Minas - Araguari;EGS;EDH;10,44;;EGS - EDH;0;51;0;0;1712
187;FCA;Garças de Minas - Araguari;EDH;EFP;13,314;;EDH - EFP;0;51;0;0;1712
188;FCA;Garças de Minas - Araguari;EFP;EAW;14,877;;EFP - EAW;0;51;0;0;1712
189;FCA;Garças de Minas - Araguari;EAW;EBY;16,101;;EAW - EBY;0;51;0;0;1712
190;FCA;Garças de Minas - Araguari;EBY;EMD;9,868;;EBY - EMD;0;51;0;0;1712
191;FCA;Garças de Minas - Araguari;EMD;ETH;11,046;;EMD - ETH;0;51;0;0;1712
192;FCA;Garças de Minas - Araguari;ETH;ETG;16,354;;ETH - ETG;0;51;0;0;1712
193;FCA;Garças de Minas - Araguari;ETG;EUR;12,22;;ETG - EUR;0;51;0;0;1712
194;FCA;Garças de Minas - Araguari;EUR;ECP;11,36;;EUR - ECP;0;51;0;0;1712
195;FCA;Garças de Minas - Araguari;ECP;EIY;11,5;;ECP - EIY;0;51;0;0;1712
196;FCA;Garças de Minas - Araguari;EIY;EPH;12,059;;EIY - EPH;0;51;0;0;1712
197;FCA;Garças de Minas - Araguari;EPH;ETY;13,57;;EPH - ETY;0;51;0;0;1712
198;FCA;Garças de Minas - Araguari;ETY;EKM;13,99;;ETY - EKM;0;51;0;0;1712
199;FCA;Garças de Minas - Araguari;EKM;EIA;13,14;;EKM - EIA;0;51;0;0;1712
200;FCA;Garças de Minas - Araguari;EIA;EOM;13,84;;EIA - EOM;0;0;0;0;0
201;FCA;Garças de Minas - Araguari;EOM;EGB;19,7;;EOM - EGB;0;0;0;0;0
202;FCA;Garças de Minas - Araguari;EGB;EJR;8,206;;EGB - EJR;0;0;0;0;0
203;FCA;Garças de Minas - Araguari;EJR;ECT;15,63;;EJR - ECT;0;0;0;0;0
204;FCA;Garças de Minas - Araguari;ECT;EDZ;15,211;;ECT - EDZ;0;0;0;0;0
205;FCA;Garças de Minas - Araguari;EDZ;ELI;10,103;;EDZ - ELI;0;0;0;0;0
206;FCA;Garças de Minas - Araguari;ELI;ETP;4,75;;ELI - ETP;0;0;0;0;0
207;FCA;Garças de Minas - Araguari;ETP;EBA;12,2;;ETP - EBA;0;0;0;0;0
