;Ferrovia;Linha;A;B;Extensão (km);AB;TU_2015;TU_2016;TU_2017;TU_2018;TU_2019;Dist_2016;Dist_2017;Dist_2018;Dist_2019;Dist_2015
0;EFC;Ramal Ponta da Madeira Cobre;A99;QCO;1,0;A99 - QCO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;EFC;Ramal Ponta da Madeira Granel;A99;QPI;2,7;A99 - QPI;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;EFC;Ponta da Madeira - Carajás;QPM;QRO;39,0;QPM - QRO;1239155,0;1384106,0;1422415,0;1535219,0;975578,0;39,0;39,0;39,0;39,0;39,0
3;EFC;Ponta da Madeira - Carajás;QRO;QSI;174,0;QRO - QSI;1239155,0;1384106,0;1422415,0;1535219,0;975578,0;174,0;174,0;174,0;174,0;174,0
4;EFC;Ponta da Madeira - Carajás;QSI;QNV;171,0;QSI - QNV;1239155,0;1384106,0;1422415,0;1535219,0;975578,0;171,0;171,0;171,0;171,0;171,0
5;EFC;Ponta da Madeira - Carajás;QNV;QAL;129,0;QNV - QAL;1239155,0;1384106,0;1422415,0;1535219,0;975578,0;129,0;129,0;129,0;129,0;129,0
6;EFC;Ponta da Madeira - Carajás;QAL;QMA;225,0;QAL - QMA;207215,0;324838,0;424020,0;442163,0;203014,0;225,0;225,0;225,0;225,0;225,0
7;EFC;Ponta da Madeira - Carajás;QMA;QSL;93,34200000000001;QMA - QSL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;EFC;Ponta da Madeira - Carajás;QSL;QRS;28,075;QSL - QRS;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
9;EFC;Ponta da Madeira - Carajás;QRS;QPA;1,5830000000000002;QRS - QPA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10;EFC;Ponta da Madeira - Carajás;QPA;QCA;30,0;QPA - QCA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;EFC;Ramal Ponta da Madeira - Virador de Vagões Minério;QPM;QVV;8,0;QPM - QVV;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;EFC;Ramal Ponta da Madeira - Pombinho;QPM;APB;7,0;QPM - APB;523382,0;753882,0;1300992,0;1509648,0;516471,0;7,0;7,0;7,0;7,0;7,0
13;EFC;Ramal Serra Sul;QRS;QSS;86,969;QRS - QSS;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14;EFPO;Guarapuava - Cascavel;LGP;S01;7,5;LGP - S01;31202,0;682,0;0,0;0,0;37537,0;7,5;0,0;0,0;7,5;7,5
15;EFPO;Guarapuava - Cascavel;S01;SCR;20,19;S01 - SCR;31202,0;682,0;0,0;0,0;37537,0;20,19;0,0;0,0;20,19;20,19
16;EFPO;Guarapuava - Cascavel;SCR;SLI;13,062999999999999;SCR - SLI;31202,0;682,0;0,0;0,0;37537,0;13,062999999999999;0,0;0,0;13,062999999999999;13,062999999999999
17;EFPO;Guarapuava - Cascavel;SLI;SAR;16,343;SLI - SAR;31202,0;682,0;0,0;0,0;37537,0;16,343;0,0;0,0;16,343;16,343
18;EFPO;Guarapuava - Cascavel;SAR;SGO;25,921999999999997;SAR - SGO;31202,0;682,0;0,0;0,0;37537,0;25,921999999999997;0,0;0,0;25,921999999999997;25,921999999999997
